"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"10/25/2016 00:30:00","GENESE",61753,10.33,-0.10,0.00
"10/25/2016 00:30:00","H Q",61844,10.08,-0.35,0.00
"10/25/2016 00:30:00","HUD VL",61758,11.34,0.90,0.00
"10/25/2016 00:30:00","LONGIL",61762,11.62,1.18,0.00
"10/25/2016 00:30:00","MHK VL",61756,10.75,0.31,0.00
"10/25/2016 00:30:00","MILLWD",61759,11.37,0.93,0.00
"10/25/2016 00:30:00","N.Y.C.",61761,11.43,0.99,0.00
"10/25/2016 00:30:00","NORTH",61755,9.89,-0.54,0.00
"10/25/2016 00:30:00","NPX",61845,11.31,0.88,0.00
"10/25/2016 00:30:00","O H",61846,10.19,-0.25,0.00
"10/25/2016 00:30:00","PJM",61847,10.84,0.41,0.00
"10/25/2016 00:30:00","WEST",61752,10.33,-0.10,0.00
"10/25/2016 00:35:00","CAPITL",61757,5.53,0.34,0.00
"10/25/2016 00:35:00","CENTRL",61754,5.25,0.06,0.00
"10/25/2016 00:35:00","DUNWOD",61760,5.64,0.45,0.00
"10/25/2016 00:35:00","GENESE",61753,5.16,-0.04,0.00
"10/25/2016 00:35:00","H Q",61844,5.02,-0.18,0.00
"10/25/2016 00:35:00","HUD VL",61758,5.63,0.44,0.00
"10/25/2016 00:35:00","LONGIL",61762,5.78,0.59,0.00
"10/25/2016 00:35:00","MHK VL",61756,5.35,0.16,0.00
"10/25/2016 00:35:00","MILLWD",61759,5.64,0.45,0.00
"10/25/2016 00:35:00","N.Y.C.",61761,5.67,0.48,0.00
"10/25/2016 00:35:00","NORTH",61755,4.92,-0.27,0.00
"10/25/2016 00:35:00","NPX",61845,5.63,0.44,0.00
"10/25/2016 00:35:00","O H",61846,5.08,-0.11,0.00
"10/25/2016 00:35:00","PJM",61847,5.39,0.20,0.00
"10/25/2016 00:35:00","WEST",61752,5.16,-0.04,0.00
"10/25/2016 00:40:00","CAPITL",61757,2.22,0.14,0.00
"10/25/2016 00:40:00","CENTRL",61754,2.10,0.02,0.00
"10/25/2016 00:40:00","DUNWOD",61760,2.26,0.18,0.00
"10/25/2016 00:40:00","GENESE",61753,2.06,-0.02,0.00
"10/25/2016 00:40:00","H Q",61844,2.01,-0.07,0.00
"10/25/2016 00:40:00","HUD VL",61758,2.25,0.17,0.00
"10/25/2016 00:40:00","LONGIL",61762,2.31,0.23,0.00
"10/25/2016 00:40:00","MHK VL",61756,2.14,0.06,0.00
"10/25/2016 00:40:00","MILLWD",61759,2.26,0.18,0.00
"10/25/2016 00:40:00","N.Y.C.",61761,2.27,0.19,0.00
"10/25/2016 00:40:00","NORTH",61755,1.97,-0.11,0.00
"10/25/2016 00:40:00","NPX",61845,2.27,0.19,0.00
"10/25/2016 00:40:00","O H",61846,2.03,-0.05,0.00
"10/25/2016 00:40:00","PJM",61847,2.15,0.07,0.00
"10/25/2016 00:40:00","WEST",61752,2.06,-0.02,0.00
"10/25/2016 00:45:00","CAPITL",61757,7.75,0.51,0.00
"10/25/2016 00:45:00","CENTRL",61754,7.31,0.07,0.00
"10/25/2016 00:45:00","DUNWOD",61760,7.87,0.63,0.00
"10/25/2016 00:45:00","GENESE",61753,7.17,-0.07,0.00
"10/25/2016 00:45:00","H Q",61844,6.99,-0.25,0.00
"10/25/2016 00:45:00","HUD VL",61758,7.85,0.61,0.00
"10/25/2016 00:45:00","LONGIL",61762,8.04,0.80,0.00
"10/25/2016 00:45:00","MHK VL",61756,7.46,0.22,0.00
"10/25/2016 00:45:00","MILLWD",61759,7.87,0.63,0.00
"10/25/2016 00:45:00","N.Y.C.",61761,7.91,0.67,0.00
"10/25/2016 00:45:00","NORTH",61755,6.87,-0.37,0.00
"10/25/2016 00:45:00","NPX",61845,7.94,0.70,0.00
"10/25/2016 00:45:00","O H",61846,7.04,-0.20,0.00
"10/25/2016 00:45:00","PJM",61847,7.49,0.25,0.00
"10/25/2016 00:45:00","WEST",61752,7.15,-0.09,0.00
"10/25/2016 00:50:00","CAPITL",61757,11.32,0.79,0.00
"10/25/2016 00:50:00","CENTRL",61754,10.60,0.07,0.00
"10/25/2016 00:50:00","DUNWOD",61760,11.46,0.94,0.00
"10/25/2016 00:50:00","GENESE",61753,10.37,-0.16,0.00
"10/25/2016 00:50:00","H Q",61844,10.17,-0.36,0.00
"10/25/2016 00:50:00","HUD VL",61758,11.42,0.89,0.00
"10/25/2016 00:50:00","LONGIL",61762,11.69,1.17,0.00
"10/25/2016 00:50:00","MHK VL",61756,10.83,0.31,0.00
"10/25/2016 00:50:00","MILLWD",61759,11.45,0.93,0.00
"10/25/2016 00:50:00","N.Y.C.",61761,11.52,0.99,0.00
"10/25/2016 00:50:00","NORTH",61755,9.99,-0.54,0.00
"10/25/2016 00:50:00","NPX",61845,15.40,1.13,-3.75
"10/25/2016 00:50:00","O H",61846,10.18,-0.35,0.00
"10/25/2016 00:50:00","PJM",61847,10.86,0.34,0.00
"10/25/2016 00:50:00","WEST",61752,10.32,-0.21,0.00
"10/25/2016 00:55:00","CAPITL",61757,11.30,0.80,0.00
"10/25/2016 00:55:00","CENTRL",61754,10.58,0.07,0.00
