"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"10/23/2016 00:05:00","CAPITL",61757,20.61,-0.03,-21.03
"10/23/2016 00:05:00","CENTRL",61754,1.93,0.00,-2.33
"10/23/2016 00:05:00","DUNWOD",61760,14.99,-0.04,-15.42
"10/23/2016 00:05:00","GENESE",61753,1.55,0.02,-1.92
"10/23/2016 00:05:00","H Q",61844,-0.72,0.01,0.34
"10/23/2016 00:05:00","HUD VL",61758,15.07,-0.04,-15.51
"10/23/2016 00:05:00","LONGIL",61762,15.00,-0.05,-15.44
"10/23/2016 00:05:00","MHK VL",61756,1.40,-0.01,-1.80
"10/23/2016 00:05:00","MILLWD",61759,15.18,-0.04,-15.62
"10/23/2016 00:05:00","N.Y.C.",61761,15.00,-0.04,-15.44
"10/23/2016 00:05:00","NORTH",61755,-0.88,0.02,0.51
"10/23/2016 00:05:00","NPX",61845,18.23,-0.05,-18.67
"10/23/2016 00:05:00","O H",61846,2.24,0.03,-2.61
"10/23/2016 00:05:00","PJM",61847,8.18,-0.01,-8.58
"10/23/2016 00:05:00","WEST",61752,2.14,0.02,-2.51
"10/23/2016 00:10:00","CAPITL",61757,2.35,0.17,0.00
"10/23/2016 00:10:00","CENTRL",61754,2.16,-0.01,0.00
"10/23/2016 00:10:00","DUNWOD",61760,2.40,0.23,0.00
"10/23/2016 00:10:00","GENESE",61753,2.10,-0.07,0.00
"10/23/2016 00:10:00","H Q",61844,2.09,-0.07,0.01
"10/23/2016 00:10:00","HUD VL",61758,2.39,0.22,0.00
"10/23/2016 00:10:00","LONGIL",61762,2.46,0.29,0.00
"10/23/2016 00:10:00","MHK VL",61756,2.22,0.05,0.00
"10/23/2016 00:10:00","MILLWD",61759,2.40,0.23,0.00
"10/23/2016 00:10:00","N.Y.C.",61761,2.41,0.24,0.00
"10/23/2016 00:10:00","NORTH",61755,2.04,-0.12,0.01
"10/23/2016 00:10:00","NPX",61845,3.09,0.25,-0.66
"10/23/2016 00:10:00","O H",61846,2.05,-0.13,0.00
"10/23/2016 00:10:00","PJM",61847,2.23,0.06,0.00
"10/23/2016 00:10:00","WEST",61752,2.07,-0.11,0.00
"10/23/2016 00:15:00","CAPITL",61757,2.19,0.20,0.60
"10/23/2016 00:15:00","CENTRL",61754,2.00,-0.01,0.58
"10/23/2016 00:15:00","DUNWOD",61760,2.85,0.27,0.00
"10/23/2016 00:15:00","GENESE",61753,2.09,-0.09,0.41
"10/23/2016 00:15:00","H Q",61844,-26.75,-0.09,29.25
"10/23/2016 00:15:00","HUD VL",61758,2.85,0.26,0.00
"10/23/2016 00:15:00","LONGIL",61762,2.92,0.34,0.00
"10/23/2016 00:15:00","MHK VL",61756,-1.11,0.06,3.75
"10/23/2016 00:15:00","MILLWD",61759,2.86,0.27,0.00
"10/23/2016 00:15:00","N.Y.C.",61761,2.87,0.29,0.00
"10/23/2016 00:15:00","NORTH",61755,-24.09,-0.15,26.53
"10/23/2016 00:15:00","NPX",61845,3.12,0.29,-0.23
"10/23/2016 00:15:00","O H",61846,2.05,-0.14,0.39
"10/23/2016 00:15:00","PJM",61847,2.28,0.08,0.39
"10/23/2016 00:15:00","WEST",61752,2.07,-0.12,0.39
"10/23/2016 00:20:00","CAPITL",61757,2.18,0.20,0.60
"10/23/2016 00:20:00","CENTRL",61754,1.99,0.00,0.58
"10/23/2016 00:20:00","DUNWOD",61760,2.85,0.27,0.00
"10/23/2016 00:20:00","GENESE",61753,2.09,-0.08,0.41
"10/23/2016 00:20:00","H Q",61844,-26.78,-0.09,29.27
"10/23/2016 00:20:00","HUD VL",61758,2.84,0.26,0.00
"10/23/2016 00:20:00","LONGIL",61762,2.92,0.34,0.00
"10/23/2016 00:20:00","MHK VL",61756,-1.11,0.06,3.75
"10/23/2016 00:20:00","MILLWD",61759,2.85,0.27,0.00
"10/23/2016 00:20:00","N.Y.C.",61761,2.86,0.28,0.00
"10/23/2016 00:20:00","NORTH",61755,-24.11,-0.14,26.55
"10/23/2016 00:20:00","NPX",61845,4.53,0.28,-1.66
"10/23/2016 00:20:00","O H",61846,2.06,-0.13,0.39
"10/23/2016 00:20:00","PJM",61847,2.28,0.08,0.39
"10/23/2016 00:20:00","WEST",61752,2.08,-0.11,0.39
"10/23/2016 00:25:00","CAPITL",61757,2.17,0.20,0.60
"10/23/2016 00:25:00","CENTRL",61754,1.99,0.00,0.58
"10/23/2016 00:25:00","DUNWOD",61760,2.83,0.26,0.00
"10/23/2016 00:25:00","GENESE",61753,2.09,-0.08,0.41
"10/23/2016 00:25:00","H Q",61844,-26.76,-0.09,29.24
"10/23/2016 00:25:00","HUD VL",61758,2.83,0.25,0.00
"10/23/2016 00:25:00","LONGIL",61762,2.90,0.33,0.00
"10/23/2016 00:25:00","MHK VL",61756,-1.12,0.06,3.75
"10/23/2016 00:25:00","MILLWD",61759,2.84,0.27,0.00
"10/23/2016 00:25:00","N.Y.C.",61761,2.85,0.28,0.00
"10/23/2016 00:25:00","NORTH",61755,-24.09,-0.14,26.52
"10/23/2016 00:25:00","NPX",61845,4.52,0.29,-1.66
"10/23/2016 00:25:00","O H",61846,2.05,-0.13,0.39
"10/23/2016 00:25:00","PJM",61847,2.27,0.08,0.39
"10/23/2016 00:25:00","WEST",61752,2.07,-0.11,0.39
"10/23/2016 00:30:00","CAPITL",61757,11.52,0.87,0.77
"10/23/2016 00:30:00","CENTRL",61754,10.63,-0.03,0.76
"10/23/2016 00:30:00","DUNWOD",61760,12.62,1.20,0.00
"10/23/2016 00:30:00","GENESE",61753,10.51,-0.39,0.53
"10/23/2016 00:30:00","H Q",61844,-26.93,-0.39,37.96
"10/23/2016 00:30:00","HUD VL",61758,12.59,1.17,0.00
"10/23/2016 00:30:00","LONGIL",61762,12.95,1.53,0.00
"10/23/2016 00:30:00","MHK VL",61756,6.82,0.26,4.87
"10/23/2016 00:30:00","MILLWD",61759,12.65,1.22,0.00
"10/23/2016 00:30:00","N.Y.C.",61761,12.71,1.29,0.00
"10/23/2016 00:30:00","NORTH",61755,-23.62,-0.62,34.43
"10/23/2016 00:30:00","NPX",61845,14.20,1.25,-1.54
"10/23/2016 00:30:00","O H",61846,10.27,-0.65,0.51
"10/23/2016 00:30:00","PJM",61847,11.28,0.35,0.50
"10/23/2016 00:30:00","WEST",61752,10.36,-0.56,0.51
"10/23/2016 00:35:00","CAPITL",61757,12.31,0.96,0.79
"10/23/2016 00:35:00","CENTRL",61754,11.34,-0.04,0.77
"10/23/2016 00:35:00","DUNWOD",61760,13.43,1.29,0.00
"10/23/2016 00:35:00","GENESE",61753,11.16,-0.45,0.54
"10/23/2016 00:35:00","H Q",61844,-26.88,-0.41,38.61
"10/23/2016 00:35:00","HUD VL",61758,13.38,1.24,0.00
"10/23/2016 00:35:00","LONGIL",61762,13.77,1.63,0.00
"10/23/2016 00:35:00","MHK VL",61756,7.47,0.28,4.95
"10/23/2016 00:35:00","MILLWD",61759,13.44,1.30,0.00
"10/23/2016 00:35:00","N.Y.C.",61761,13.51,1.37,0.00
"10/23/2016 00:35:00","NORTH",61755,-23.54,-0.67,35.02
"10/23/2016 00:35:00","NPX",61845,19.40,1.40,-5.86
"10/23/2016 00:35:00","O H",61846,10.90,-0.73,0.51
"10/23/2016 00:35:00","PJM",61847,12.01,0.38,0.51
"10/23/2016 00:35:00","WEST",61752,10.98,-0.64,0.52
"10/23/2016 00:40:00","CAPITL",61757,11.13,0.87,0.76
"10/23/2016 00:40:00","CENTRL",61754,10.27,-0.01,0.75
"10/23/2016 00:40:00","DUNWOD",61760,12.17,1.15,0.00
"10/23/2016 00:40:00","GENESE",61753,10.13,-0.37,0.52
"10/23/2016 00:40:00","H Q",61844,-26.86,-0.37,37.51
"10/23/2016 00:40:00","HUD VL",61758,12.14,1.11,0.00
"10/23/2016 00:40:00","LONGIL",61762,12.45,1.42,0.00
"10/23/2016 00:40:00","MHK VL",61756,6.47,0.25,4.81
"10/23/2016 00:40:00","MILLWD",61759,12.18,1.16,0.00
"10/23/2016 00:40:00","N.Y.C.",61761,12.25,1.22,0.00
"10/23/2016 00:40:00","NORTH",61755,-23.61,-0.62,34.02
"10/23/2016 00:40:00","NPX",61845,18.16,1.26,-5.87
"10/23/2016 00:40:00","O H",61846,9.93,-0.60,0.50
"10/23/2016 00:40:00","PJM",61847,10.89,0.36,0.50
"10/23/2016 00:40:00","WEST",61752,10.01,-0.52,0.50
"10/23/2016 00:45:00","CAPITL",61757,14.73,1.09,0.84
