"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"10/29/2016 00:05:00","CAPITL",61757,23.96,1.57,0.00
"10/29/2016 00:05:00","CENTRL",61754,22.48,0.09,0.00
"10/29/2016 00:05:00","DUNWOD",61760,24.59,2.20,0.00
"10/29/2016 00:05:00","GENESE",61753,21.81,-0.58,0.00
"10/29/2016 00:05:00","H Q",61844,21.83,-0.56,0.00
"10/29/2016 00:05:00","HUD VL",61758,24.50,2.10,0.00
"10/29/2016 00:05:00","LONGIL",61762,25.48,3.09,0.00
"10/29/2016 00:05:00","MHK VL",61756,23.13,0.74,0.00
"10/29/2016 00:05:00","MILLWD",61759,24.61,2.22,0.00
"10/29/2016 00:05:00","N.Y.C.",61761,24.74,2.35,0.00
"10/29/2016 00:05:00","NORTH",61755,21.92,-0.47,0.00
"10/29/2016 00:05:00","NPX",61845,26.03,2.22,-1.42
"10/29/2016 00:05:00","O H",61846,21.23,-1.17,0.00
"10/29/2016 00:05:00","PJM",61847,22.95,0.56,0.00
"10/29/2016 00:05:00","WEST",61752,21.50,-0.90,0.00
"10/29/2016 00:10:00","CAPITL",61757,21.24,1.39,0.00
"10/29/2016 00:10:00","CENTRL",61754,19.86,0.00,0.00
"10/29/2016 00:10:00","DUNWOD",61760,21.84,1.99,0.00
"10/29/2016 00:10:00","GENESE",61753,19.22,-0.64,0.00
"10/29/2016 00:10:00","H Q",61844,19.38,-0.48,0.00
"10/29/2016 00:10:00","HUD VL",61758,21.76,1.91,0.00
"10/29/2016 00:10:00","LONGIL",61762,22.58,2.72,0.00
"10/29/2016 00:10:00","MHK VL",61756,20.47,0.62,0.00
"10/29/2016 00:10:00","MILLWD",61759,21.86,2.00,0.00
"10/29/2016 00:10:00","N.Y.C.",61761,21.98,2.13,0.00
"10/29/2016 00:10:00","NORTH",61755,19.48,-0.38,0.00
"10/29/2016 00:10:00","NPX",61845,23.26,1.99,-1.42
"10/29/2016 00:10:00","O H",61846,18.66,-1.19,0.00
"10/29/2016 00:10:00","PJM",61847,20.27,0.42,0.00
