"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"10/27/2016 00:05:00","CAPITL",61757,26.21,1.58,0.00
"10/27/2016 00:05:00","CENTRL",61754,24.88,0.25,0.00
"10/27/2016 00:05:00","DUNWOD",61760,26.87,2.24,0.00
"10/27/2016 00:05:00","GENESE",61753,24.39,-0.25,0.00
"10/27/2016 00:05:00","H Q",61844,0.00,-0.61,24.02
"10/27/2016 00:05:00","HUD VL",61758,26.82,2.19,0.00
"10/27/2016 00:05:00","LONGIL",61762,27.71,3.08,0.00
"10/27/2016 00:05:00","MHK VL",61756,25.57,0.94,0.00
"10/27/2016 00:05:00","MILLWD",61759,26.90,2.26,0.00
"10/27/2016 00:05:00","N.Y.C.",61761,27.05,2.42,0.00
"10/27/2016 00:05:00","NORTH",61755,24.11,-0.52,0.00
"10/27/2016 00:05:00","NPX",61845,26.63,2.14,0.15
"10/27/2016 00:05:00","O H",61846,23.87,-0.76,0.00
"10/27/2016 00:05:00","PJM",61847,25.42,0.79,0.00
"10/27/2016 00:05:00","WEST",61752,24.24,-0.40,0.00
"10/27/2016 00:10:00","CAPITL",61757,26.15,1.60,0.00
"10/27/2016 00:10:00","CENTRL",61754,24.85,0.30,0.00
"10/27/2016 00:10:00","DUNWOD",61760,26.69,2.14,0.00
"10/27/2016 00:10:00","GENESE",61753,24.38,-0.17,0.00
"10/27/2016 00:10:00","H Q",61844,0.00,-0.61,23.94
"10/27/2016 00:10:00","HUD VL",61758,26.64,2.09,0.00
"10/27/2016 00:10:00","LONGIL",61762,27.45,2.90,0.00
"10/27/2016 00:10:00","MHK VL",61756,25.51,0.96,0.00
"10/27/2016 00:10:00","MILLWD",61759,26.72,2.16,0.00
"10/27/2016 00:10:00","N.Y.C.",61761,26.84,2.28,0.00
"10/27/2016 00:10:00","NORTH",61755,24.04,-0.52,0.00
"10/27/2016 00:10:00","NPX",61845,26.49,2.09,0.15
"10/27/2016 00:10:00","O H",61846,23.92,-0.64,0.00
"10/27/2016 00:10:00","PJM",61847,25.36,0.81,0.00
"10/27/2016 00:10:00","WEST",61752,24.29,-0.27,0.00
"10/27/2016 00:15:00","CAPITL",61757,29.13,1.88,0.00
"10/27/2016 00:15:00","CENTRL",61754,27.53,0.27,0.00
"10/27/2016 00:15:00","DUNWOD",61760,29.60,2.34,0.00
"10/27/2016 00:15:00","GENESE",61753,26.98,-0.27,0.00
"10/27/2016 00:15:00","H Q",61844,0.00,-0.65,26.60
"10/27/2016 00:15:00","HUD VL",61758,29.54,2.29,0.00
"10/27/2016 00:15:00","LONGIL",61762,30.33,3.08,0.00
"10/27/2016 00:15:00","MHK VL",61756,28.29,1.04,0.00
"10/27/2016 00:15:00","MILLWD",61759,29.62,2.37,0.00
"10/27/2016 00:15:00","N.Y.C.",61761,29.76,2.51,0.00
"10/27/2016 00:15:00","NORTH",61755,26.68,-0.57,0.00
"10/27/2016 00:15:00","NPX",61845,29.53,2.42,0.15
"10/27/2016 00:15:00","O H",61846,26.46,-0.79,0.00
"10/27/2016 00:15:00","PJM",61847,28.13,0.87,0.00
"10/27/2016 00:15:00","WEST",61752,26.85,-0.41,0.00
"10/27/2016 00:20:00","CAPITL",61757,27.57,1.78,0.00
"10/27/2016 00:20:00","CENTRL",61754,25.99,0.21,0.00
"10/27/2016 00:20:00","DUNWOD",61760,28.03,2.24,0.00
"10/27/2016 00:20:00","GENESE",61753,25.48,-0.31,0.00
"10/27/2016 00:20:00","H Q",61844,0.00,-0.62,25.17
"10/27/2016 00:20:00","HUD VL",61758,27.96,2.17,0.00
"10/27/2016 00:20:00","LONGIL",61762,28.70,2.91,0.00
"10/27/2016 00:20:00","MHK VL",61756,26.77,0.98,0.00
"10/27/2016 00:20:00","MILLWD",61759,28.06,2.27,0.00
"10/27/2016 00:20:00","N.Y.C.",61761,28.16,2.37,0.00
"10/27/2016 00:20:00","NORTH",61755,25.25,-0.54,0.00
"10/27/2016 00:20:00","NPX",61845,28.08,2.29,0.00
"10/27/2016 00:20:00","O H",61846,24.94,-0.85,0.00
"10/27/2016 00:20:00","PJM",61847,26.59,0.80,0.00
"10/27/2016 00:20:00","WEST",61752,25.30,-0.49,0.00
"10/27/2016 00:25:00","CAPITL",61757,27.49,1.73,0.00
"10/27/2016 00:25:00","CENTRL",61754,26.02,0.26,0.00
"10/27/2016 00:25:00","DUNWOD",61760,27.98,2.22,0.00
"10/27/2016 00:25:00","GENESE",61753,25.50,-0.26,0.00
"10/27/2016 00:25:00","H Q",61844,0.00,-0.62,25.14
"10/27/2016 00:25:00","HUD VL",61758,27.93,2.16,0.00
"10/27/2016 00:25:00","LONGIL",61762,28.65,2.88,0.00
"10/27/2016 00:25:00","MHK VL",61756,26.77,1.00,0.00
"10/27/2016 00:25:00","MILLWD",61759,28.00,2.24,0.00
"10/27/2016 00:25:00","N.Y.C.",61761,28.13,2.37,0.00
"10/27/2016 00:25:00","NORTH",61755,25.22,-0.54,0.00
"10/27/2016 00:25:00","NPX",61845,27.95,2.19,0.00
"10/27/2016 00:25:00","O H",61846,24.99,-0.77,0.00
"10/27/2016 00:25:00","PJM",61847,26.59,0.82,0.00
"10/27/2016 00:25:00","WEST",61752,25.35,-0.41,0.00
"10/27/2016 00:30:00","CAPITL",61757,29.35,1.87,0.00
"10/27/2016 00:30:00","CENTRL",61754,27.70,0.22,0.00
"10/27/2016 00:30:00","DUNWOD",61760,29.90,2.42,0.00
"10/27/2016 00:30:00","GENESE",61753,27.10,-0.38,0.00
"10/27/2016 00:30:00","H Q",61844,0.00,-0.66,26.82
"10/27/2016 00:30:00","HUD VL",61758,29.85,2.36,0.00
"10/27/2016 00:30:00","LONGIL",61762,30.56,3.08,0.00
"10/27/2016 00:30:00","MHK VL",61756,28.53,1.04,0.00
"10/27/2016 00:30:00","MILLWD",61759,29.93,2.45,0.00
"10/27/2016 00:30:00","N.Y.C.",61761,30.04,2.56,0.00
"10/27/2016 00:30:00","NORTH",61755,26.91,-0.58,0.00
"10/27/2016 00:30:00","NPX",61845,29.85,2.36,0.00
"10/27/2016 00:30:00","O H",61846,26.52,-0.96,0.00
"10/27/2016 00:30:00","PJM",61847,28.34,0.85,0.00
"10/27/2016 00:30:00","WEST",61752,26.88,-0.60,0.00
"10/27/2016 00:35:00","CAPITL",61757,29.71,2.02,0.00
"10/27/2016 00:35:00","CENTRL",61754,27.86,0.17,0.00
"10/27/2016 00:35:00","DUNWOD",61760,30.13,2.44,0.00
"10/27/2016 00:35:00","GENESE",61753,27.19,-0.50,0.00
"10/27/2016 00:35:00","H Q",61844,0.00,-0.66,27.03
"10/27/2016 00:35:00","HUD VL",61758,30.07,2.38,0.00
"10/27/2016 00:35:00","LONGIL",61762,30.79,3.10,0.00
"10/27/2016 00:35:00","MHK VL",61756,28.74,1.05,0.00
"10/27/2016 00:35:00","MILLWD",61759,30.15,2.46,0.00
"10/27/2016 00:35:00","N.Y.C.",61761,30.27,2.58,0.00
"10/27/2016 00:35:00","NORTH",61755,27.11,-0.58,0.00
"10/27/2016 00:35:00","NPX",61845,30.38,2.69,0.00
"10/27/2016 00:35:00","O H",61846,26.55,-1.14,0.00
"10/27/2016 00:35:00","PJM",61847,28.70,0.75,-0.26
"10/27/2016 00:35:00","WEST",61752,26.89,-0.80,0.00
"10/27/2016 00:40:00","CAPITL",61757,29.73,2.08,0.00
"10/27/2016 00:40:00","CENTRL",61754,27.83,0.17,0.00
"10/27/2016 00:40:00","DUNWOD",61760,30.09,2.43,0.00
"10/27/2016 00:40:00","GENESE",61753,27.16,-0.50,0.00
"10/27/2016 00:40:00","H Q",61844,0.00,-0.69,26.97
"10/27/2016 00:40:00","HUD VL",61758,30.01,2.35,0.00
"10/27/2016 00:40:00","LONGIL",61762,30.76,3.10,0.00
"10/27/2016 00:40:00","MHK VL",61756,28.68,1.02,0.00
"10/27/2016 00:40:00","MILLWD",61759,30.12,2.46,0.00
"10/27/2016 00:40:00","N.Y.C.",61761,30.23,2.57,0.00
"10/27/2016 00:40:00","NORTH",61755,27.05,-0.61,0.00
"10/27/2016 00:40:00","NPX",61845,30.45,2.79,0.00
"10/27/2016 00:40:00","O H",61846,26.52,-1.14,0.00
"10/27/2016 00:40:00","PJM",61847,28.66,0.75,-0.26
"10/27/2016 00:40:00","WEST",61752,26.88,-0.77,0.00
