"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"10/28/2016 00:05:00","CAPITL",61757,27.94,1.90,0.00
"10/28/2016 00:05:00","CENTRL",61754,26.17,0.13,0.00
"10/28/2016 00:05:00","DUNWOD",61760,28.60,2.55,0.00
"10/28/2016 00:05:00","GENESE",61753,25.94,-0.10,0.00
"10/28/2016 00:05:00","H Q",61844,0.00,-0.81,25.23
"10/28/2016 00:05:00","HUD VL",61758,28.54,2.50,0.00
"10/28/2016 00:05:00","LONGIL",61762,29.01,2.97,0.00
"10/28/2016 00:05:00","MHK VL",61756,26.98,0.94,0.00
"10/28/2016 00:05:00","MILLWD",61759,28.62,2.58,0.00
"10/28/2016 00:05:00","N.Y.C.",61761,28.78,2.73,0.00
"10/28/2016 00:05:00","NORTH",61755,24.79,-1.25,0.00
"10/28/2016 00:05:00","NPX",61845,28.75,2.71,0.00
"10/28/2016 00:05:00","O H",61846,25.36,-0.68,0.00
"10/28/2016 00:05:00","PJM",61847,26.87,0.83,0.00
"10/28/2016 00:05:00","WEST",61752,25.68,-0.36,0.00
"10/28/2016 00:10:00","CAPITL",61757,27.97,1.93,0.00
"10/28/2016 00:10:00","CENTRL",61754,26.25,0.21,0.00
"10/28/2016 00:10:00","DUNWOD",61760,28.49,2.45,0.00
"10/28/2016 00:10:00","GENESE",61753,25.94,-0.10,0.00
"10/28/2016 00:10:00","H Q",61844,0.00,-0.81,25.23
"10/28/2016 00:10:00","HUD VL",61758,28.44,2.39,0.00
"10/28/2016 00:10:00","LONGIL",61762,28.88,2.84,0.00
"10/28/2016 00:10:00","MHK VL",61756,27.01,0.96,0.00
"10/28/2016 00:10:00","MILLWD",61759,28.54,2.50,0.00
"10/28/2016 00:10:00","N.Y.C.",61761,28.67,2.63,0.00
"10/28/2016 00:10:00","NORTH",61755,24.79,-1.25,0.00
"10/28/2016 00:10:00","NPX",61845,28.73,2.68,0.00
"10/28/2016 00:10:00","O H",61846,25.44,-0.60,0.00
"10/28/2016 00:10:00","PJM",61847,26.95,0.91,0.00
"10/28/2016 00:10:00","WEST",61752,25.76,-0.29,0.00
"10/28/2016 00:15:00","CAPITL",61757,27.97,1.93,0.00
"10/28/2016 00:15:00","CENTRL",61754,26.23,0.18,0.00
"10/28/2016 00:15:00","DUNWOD",61760,28.46,2.42,0.00
"10/28/2016 00:15:00","GENESE",61753,25.91,-0.13,0.00
"10/28/2016 00:15:00","H Q",61844,0.00,-0.78,25.26
"10/28/2016 00:15:00","HUD VL",61758,28.41,2.37,0.00
"10/28/2016 00:15:00","LONGIL",61762,28.80,2.76,0.00
"10/28/2016 00:15:00","MHK VL",61756,27.01,0.96,0.00
"10/28/2016 00:15:00","MILLWD",61759,28.49,2.45,0.00
"10/28/2016 00:15:00","N.Y.C.",61761,28.65,2.60,0.00
"10/28/2016 00:15:00","NORTH",61755,24.84,-1.20,0.00
"10/28/2016 00:15:00","NPX",61845,28.73,2.68,0.00
"10/28/2016 00:15:00","O H",61846,25.39,-0.65,0.00
"10/28/2016 00:15:00","PJM",61847,26.93,0.89,0.00
"10/28/2016 00:15:00","WEST",61752,25.70,-0.34,0.00
"10/28/2016 00:20:00","CAPITL",61757,28.08,2.01,0.00
"10/28/2016 00:20:00","CENTRL",61754,26.23,0.16,0.00
"10/28/2016 00:20:00","DUNWOD",61760,28.52,2.45,0.00
"10/28/2016 00:20:00","GENESE",61753,25.91,-0.16,0.00
"10/28/2016 00:20:00","H Q",61844,25.29,-0.78,0.00
"10/28/2016 00:20:00","HUD VL",61758,28.47,2.40,0.00
"10/28/2016 00:20:00","LONGIL",61762,28.86,2.79,0.00
"10/28/2016 00:20:00","MHK VL",61756,27.01,0.94,0.00
"10/28/2016 00:20:00","MILLWD",61759,28.55,2.48,0.00
"10/28/2016 00:20:00","N.Y.C.",61761,28.68,2.61,0.00
