"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"10/26/2016 00:05:00","CAPITL",61757,20.46,1.14,0.00
"10/26/2016 00:05:00","CENTRL",61754,19.49,0.17,0.00
"10/26/2016 00:05:00","DUNWOD",61760,20.90,1.58,0.00
"10/26/2016 00:05:00","GENESE",61753,19.05,-0.27,0.00
"10/26/2016 00:05:00","H Q",61844,0.00,-0.35,18.97
"10/26/2016 00:05:00","HUD VL",61758,20.87,1.55,0.00
"10/26/2016 00:05:00","LONGIL",61762,20.75,1.43,0.00
"10/26/2016 00:05:00","MHK VL",61756,20.01,0.69,0.00
"10/26/2016 00:05:00","MILLWD",61759,20.92,1.60,0.00
"10/26/2016 00:05:00","N.Y.C.",61761,21.04,1.72,0.00
"10/26/2016 00:05:00","NORTH",61755,19.03,-0.29,0.00
"10/26/2016 00:05:00","NPX",61845,26.21,1.62,-5.27
"10/26/2016 00:05:00","O H",61846,18.63,-0.69,0.00
"10/26/2016 00:05:00","PJM",61847,19.82,0.50,0.00
"10/26/2016 00:05:00","WEST",61752,18.97,-0.35,0.00
"10/26/2016 00:10:00","CAPITL",61757,22.66,1.38,0.00
"10/26/2016 00:10:00","CENTRL",61754,21.40,0.13,0.00
"10/26/2016 00:10:00","DUNWOD",61760,23.00,1.72,0.00
"10/26/2016 00:10:00","GENESE",61753,20.89,-0.38,0.00
"10/26/2016 00:10:00","H Q",61844,0.00,-0.40,20.87
"10/26/2016 00:10:00","HUD VL",61758,22.96,1.68,0.00
"10/26/2016 00:10:00","LONGIL",61762,22.89,1.62,0.00
"10/26/2016 00:10:00","MHK VL",61756,22.02,0.74,0.00
"10/26/2016 00:10:00","MILLWD",61759,23.04,1.76,0.00
"10/26/2016 00:10:00","N.Y.C.",61761,23.15,1.87,0.00
"10/26/2016 00:10:00","NORTH",61755,20.93,-0.34,0.00
"10/26/2016 00:10:00","NPX",61845,28.42,1.87,-5.27
"10/26/2016 00:10:00","O H",61846,20.38,-0.89,0.00
"10/26/2016 00:10:00","PJM",61847,21.74,0.47,0.00
"10/26/2016 00:10:00","WEST",61752,20.74,-0.53,0.00
"10/26/2016 00:15:00","CAPITL",61757,22.87,1.34,0.00
"10/26/2016 00:15:00","CENTRL",61754,21.70,0.17,0.00
"10/26/2016 00:15:00","DUNWOD",61760,23.23,1.70,0.00
"10/26/2016 00:15:00","GENESE",61753,21.19,-0.35,0.00
"10/26/2016 00:15:00","H Q",61844,0.00,-0.39,21.14
"10/26/2016 00:15:00","HUD VL",61758,23.19,1.66,0.00
"10/26/2016 00:15:00","LONGIL",61762,23.17,1.64,0.00
"10/26/2016 00:15:00","MHK VL",61756,22.33,0.80,0.00
"10/26/2016 00:15:00","MILLWD",61759,23.25,1.72,0.00
"10/26/2016 00:15:00","N.Y.C.",61761,23.36,1.83,0.00
"10/26/2016 00:15:00","NORTH",61755,21.19,-0.35,0.00
"10/26/2016 00:15:00","NPX",61845,28.57,1.77,-5.27
"10/26/2016 00:15:00","O H",61846,20.71,-0.82,0.00
"10/26/2016 00:15:00","PJM",61847,22.05,0.52,0.00
"10/26/2016 00:15:00","WEST",61752,21.08,-0.45,0.00
"10/26/2016 00:20:00","CAPITL",61757,22.56,1.38,0.00
"10/26/2016 00:20:00","CENTRL",61754,21.34,0.15,0.00
"10/26/2016 00:20:00","DUNWOD",61760,22.86,1.67,0.00
"10/26/2016 00:20:00","GENESE",61753,20.85,-0.34,0.00
"10/26/2016 00:20:00","H Q",61844,20.78,-0.40,0.00
"10/26/2016 00:20:00","HUD VL",61758,22.84,1.65,0.00
"10/26/2016 00:20:00","LONGIL",61762,22.86,1.67,0.00
"10/26/2016 00:20:00","MHK VL",61756,21.95,0.76,0.00
"10/26/2016 00:20:00","MILLWD",61759,22.90,1.72,0.00
"10/26/2016 00:20:00","N.Y.C.",61761,23.01,1.82,0.00
"10/26/2016 00:20:00","NORTH",61755,20.83,-0.36,0.00
"10/26/2016 00:20:00","NPX",61845,28.85,1.82,-5.84
"10/26/2016 00:20:00","O H",61846,20.36,-0.83,0.00
"10/26/2016 00:20:00","PJM",61847,21.67,0.49,0.00
"10/26/2016 00:20:00","WEST",61752,20.72,-0.47,0.00
"10/26/2016 00:25:00","CAPITL",61757,22.36,1.31,0.00
"10/26/2016 00:25:00","CENTRL",61754,21.26,0.21,0.00
"10/26/2016 00:25:00","DUNWOD",61760,22.67,1.62,0.00
"10/26/2016 00:25:00","GENESE",61753,20.80,-0.25,0.00
"10/26/2016 00:25:00","H Q",61844,20.65,-0.40,0.00
"10/26/2016 00:25:00","HUD VL",61758,22.65,1.60,0.00
"10/26/2016 00:25:00","LONGIL",61762,22.65,1.60,0.00
"10/26/2016 00:25:00","MHK VL",61756,21.83,0.78,0.00
"10/26/2016 00:25:00","MILLWD",61759,22.70,1.64,0.00
"10/26/2016 00:25:00","N.Y.C.",61761,22.80,1.75,0.00
"10/26/2016 00:25:00","NORTH",61755,20.69,-0.36,0.00
"10/26/2016 00:25:00","NPX",61845,28.60,1.70,-5.84
"10/26/2016 00:25:00","O H",61846,20.38,-0.67,0.00
"10/26/2016 00:25:00","PJM",61847,21.62,0.57,0.00
